School Number,School Name,Lattitude,Longitude
0914,BOSTON K-8 SCHOOL,39.737602,-104.862325
0919,BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,40.003738,-105.243862
0924,BOULDER HIGH SCHOOL,40.014592,-105.273498
0930,BOULDER UNIVERSAL,40.014689,-105.201378
0944,BOYD ELEMENTARY SCHOOL,37.461275,-105.873289
0948,BRANSON SCHOOL ONLINE,37.01882,-103.883647
0950,BRADFORD PRIMARY SCHOOL,39.569291,-105.164719
0951,BLUE HERON ELEMENTARY SCHOOL,39.612408,-105.061513
0952,BRADFORD INTERMEDIATE SCHOOL,39.583752,-105.166402
0954,BRADFORD ELEMENTARY SCHOOL,38.268193,-104.588975
0964,BRADLEY ELEMENTARY SCHOOL,39.662622,-104.929475
0974,BRANSON ELEMENTARY SCHOOL,37.01882,-103.883647
0978,BRANSON UNDIVIDED HIGH SCHOOL,37.01882,-103.883647
0979,BRANSON SCHOOL ONLINE GED PREP,37.01882,-103.883647
0988,BRENTWOOD MIDDLE SCHOOL,40.396418,-104.720691
1000,BRICKER ELEMENTARY SCHOOL,38.800254,-104.736799
1006,BRIDGES,39.395832,-107.209965
1008,BRIGGSDALE ELEMENTARY SCHOOL,40.63347,-104.325549
1012,BRIGGSDALE UNDIVIDED HIGH SCHOOL,40.63347,-104.325549
1022,BRIGHTON HIGH SCHOOL,39.982601,-104.812588
1027,BRIGHTON COLLEGIATE HIGH SCHOOL,39.979593,-104.782301
1032,BRISTOL ELEMENTARY SCHOOL,38.845831,-104.833566
1046,BROADWAY ELEMENTARY SCHOOL,39.079798,-108.63635
1052,BROMLEY EAST CHARTER SCHOOL,39.98236,-104.746881
1056,BROMWELL ELEMENTARY SCHOOL,39.722521,-104.956927
1066,BROOMFIELD HEIGHTS MIDDLE SCHOOL,39.93731,-105.077031
1070,BROOMFIELD HIGH SCHOOL,39.928835,-105.07214
1076,BROWN ELEMENTARY SCHOOL,39.7541,-105.034611
1094,BRUSH MIDDLE SCHOOL,40.260404,-103.623381
1096,BRUSH HIGH SCHOOL,40.257254,-103.638118
1106,BRYANT WEBSTER K-8 SCHOOL,39.767306,-105.008017
1126,BUENA VISTA ELEMENTARY SCHOOL,38.835493,-104.840145
1130,BUENA VISTA HIGH SCHOOL,38.835753,-106.127662
1131,BUFFALO RIDGE ELEMENTARY SCHOOL,39.465303,-104.89389
1132,HARRY L MC GINNIS MIDDLE SCHOOL,38.835753,-106.127662
1136,MANHATTAN MIDDLE SCHOOL OF THE ARTS AND ACADEMICS,39.993321,-105.229236
1144,BURLINGTON ELEMENTARY SCHOOL,39.305199,-102.264026
1148,BURLINGTON ELEMENTARY SCHOOL,40.146557,-105.107216
1150,BURLINGTON MIDDLE SCHOOL,39.300888,-102.283
1152,BURLINGTON HIGH SCHOOL,39.297465,-102.273313
1154,BUENA VISTA ONLINE ACADEMY,38.843786,-106.125783
1155,BUFFALO TRAIL ELEMENTARY SCHOOL,39.621981,-104.706294
1168,BYERS ELEMENTARY SCHOOL,39.70835,-104.217389
1176,BYERS JUNIOR-SENIOR HIGH SCHOOL,39.70835,-104.217389
1186,CACHE LA POUDRE ELEMENTARY SCHOOL,40.626913,-105.136593
1190,CACHE LA POUDRE MIDDLE SCHOOL,40.626913,-105.136593
1210,CALHAN ELEMENTARY SCHOOL,39.033858,-104.296293
1215,CALHAN MIDDLE SCHOOL,39.033858,-104.296293
1218,CALHAN HIGH SCHOOL,39.033858,-104.296293
1220,CALICHE ELEMENTARY SCHOOL,40.828064,-102.960512
1224,CALICHE JUNIOR-SENIOR HIGH SCHOOL,40.756068,-103.066453
1228,CAMERON ELEMENTARY SCHOOL,40.416704,-104.699895
1238,CAMPBELL ELEMENTARY SCHOOL,39.815375,-105.118993
1245,CENTENNIAL ELEMENTARY,40.11685,-104.938304
1248,CAMPO ELEMENTARY SCHOOL,37.104532,-102.576677
1252,CAMPO UNDIVIDED HIGH SCHOOL,37.104532,-102.576677
1262,CANON CITY MIDDLE SCHOOL,38.440645,-105.238144
1266,CANON CITY HIGH SCHOOL,38.449695,-105.23284
1273,CANYON CREEK ELEMENTARY SCHOOL,39.605638,-104.721542
1276,CENTAURI MIDDLE SCHOOL,37.23997,-105.970419
1279,CAPROCK ACADEMY,39.097695,-108.598766
1284,CARBON VALLEY ACADEMY,40.113795,-104.977627
1295,COLLEGIATE PREPARATORY ACADEMY,39.786644,-104.829559
1296,CARBONDALE MIDDLE SCHOOL,39.393377,-107.207521
1299,CARDINAL COMMUNITY ACADEMY CHARTER SCHOOL,40.046809,-104.451585
1304,CARLILE ELEMENTARY SCHOOL,38.264858,-104.630522
1306,CARMEL MIDDLE SCHOOL,38.807187,-104.764982
1318,CARMODY MIDDLE SCHOOL,39.679474,-105.109676
1319,FRED N THOMAS CAREER EDUCATION CENTER,39.755415,-105.023596
1321,CAMPBELL ELEMENTARY SCHOOL,40.629215,-103.223692
1323,CARRIE MARTIN ELEMENTARY SCHOOL,40.350109,-105.098931
1324,CARSON ELEMENTARY SCHOOL,39.717815,-104.924283
1332,CARSON MIDDLE SCHOOL,38.733871,-104.799227
1334,ABRAMS ELEMENTARY SCHOOL,38.756116,-104.803433
1340,CARVER ELEMENTARY SCHOOL,38.888653,-104.740727
1345,CESAR CHAVEZ ACADEMY DENVER,39.768529,-105.044017
